"","r_idx","ENZYME","SYMBOL","ENSEMBL","ENTREZID","met_lfc","met_pval","pathway"
"1",1,"5.4.2.4","BPGM","ENSG00000172331","669",-4.44089209850063e-16,1,"Glycolysis"
"2",1,"5.4.2.11",NA,NA,NA,-4.44089209850063e-16,1,"Glycolysis"
"3",1,"5.4.2.4","BPGM","ENSG00000172331","669",-4.44089209850063e-16,1,"Glycolysis"
"4",1,"5.4.2.11",NA,NA,NA,-4.44089209850063e-16,1,"Glycolysis"
"5",1,"5.4.2.11",NA,NA,NA,-4.44089209850063e-16,1,"Glycolysis"
"6",1,"5.4.2.11",NA,NA,NA,-4.44089209850063e-16,1,"Glycolysis"
"7",2,"5.4.2.4","BPGM","ENSG00000172331","669",-3.5527136788005e-15,1,"Glycolysis"
"8",2,"5.4.2.11",NA,NA,NA,-3.5527136788005e-15,1,"Glycolysis"
"9",2,"5.4.2.4","BPGM","ENSG00000172331","669",-3.5527136788005e-15,1,"Glycolysis"
"10",2,"5.4.2.11",NA,NA,NA,-3.5527136788005e-15,1,"Glycolysis"
"11",2,"5.4.2.11",NA,NA,NA,-3.5527136788005e-15,1,"Glycolysis"
"12",2,"5.4.2.11",NA,NA,NA,-3.5527136788005e-15,1,"Glycolysis"
"13",3,"3.1.3.13","BPGM","ENSG00000172331","669",-3.5527136788005e-15,1,"Glycolysis"
"14",4,"4.2.1.11","ENO1","ENSG00000074800","2023",0.0794061970531192,1,"Glycolysis"
"15",4,"4.2.1.11","ENO2","ENSG00000111674","2026",0.0794061970531192,1,"Glycolysis"
"16",4,"4.2.1.11","ENO3","ENSG00000108515","2027",0.0794061970531192,1,"Glycolysis"
"17",4,"4.2.1.11","ENO1","ENSG00000074800","2023",0.0794061970531192,1,"Glycolysis"
"18",4,"4.2.1.11","ENO2","ENSG00000111674","2026",0.0794061970531192,1,"Glycolysis"
"19",4,"4.2.1.11","ENO3","ENSG00000108515","2027",0.0794061970531192,1,"Glycolysis"
"20",5,"4.2.1.11","ENO1","ENSG00000074800","2023",-8.88178419700125e-16,1,"Glycolysis"
"21",5,"4.2.1.11","ENO2","ENSG00000111674","2026",-8.88178419700125e-16,1,"Glycolysis"
"22",5,"4.2.1.11","ENO3","ENSG00000108515","2027",-8.88178419700125e-16,1,"Glycolysis"
"23",5,"4.2.1.11","ENO1","ENSG00000074800","2023",-8.88178419700125e-16,1,"Glycolysis"
"24",5,"4.2.1.11","ENO2","ENSG00000111674","2026",-8.88178419700125e-16,1,"Glycolysis"
"25",5,"4.2.1.11","ENO3","ENSG00000108515","2027",-8.88178419700125e-16,1,"Glycolysis"
"26",6,"4.1.2.13","ALDOA","ENSG00000149925","226",0.322272690554819,0.65503876469712,"Glycolysis"
"27",6,"4.1.2.13","ALDOB","ENSG00000136872","229",0.322272690554819,0.65503876469712,"Glycolysis"
"28",6,"4.1.2.13","ALDOC","ENSG00000109107","230",0.322272690554819,0.65503876469712,"Glycolysis"
"29",6,"4.1.2.13","ALDOA","ENSG00000149925","226",0.322272690554819,0.65503876469712,"Glycolysis"
"30",6,"4.1.2.13","ALDOB","ENSG00000136872","229",0.322272690554819,0.65503876469712,"Glycolysis"
"31",6,"4.1.2.13","ALDOC","ENSG00000109107","230",0.322272690554819,0.65503876469712,"Glycolysis"
"32",7,"4.1.2.13","ALDOA","ENSG00000149925","226",0.304655058721655,0.598862882062521,"Glycolysis"
"33",7,"4.1.2.13","ALDOB","ENSG00000136872","229",0.304655058721655,0.598862882062521,"Glycolysis"
"34",7,"4.1.2.13","ALDOC","ENSG00000109107","230",0.304655058721655,0.598862882062521,"Glycolysis"
"35",7,"4.1.2.13","ALDOA","ENSG00000149925","226",0.304655058721655,0.598862882062521,"Glycolysis"
"36",7,"4.1.2.13","ALDOB","ENSG00000136872","229",0.304655058721655,0.598862882062521,"Glycolysis"
"37",7,"4.1.2.13","ALDOC","ENSG00000109107","230",0.304655058721655,0.598862882062521,"Glycolysis"
"38",8,"3.1.3.11","FBP1","ENSG00000165140","2203",0.322272690554819,0.65503876469712,"Glycolysis"
"39",8,"3.1.3.11","FBP2","ENSG00000130957","8789",0.322272690554819,0.65503876469712,"Glycolysis"
"40",9,"1.2.1.12","GAPDH","ENSG00000111640","2597",0.1282720208002,0.918260126933063,"Glycolysis"
"41",9,"1.2.1.12","GAPDHS","ENSG00000105679","26330",0.1282720208002,0.918260126933063,"Glycolysis"
"42",9,"1.2.1.59",NA,NA,NA,0.1282720208002,0.918260126933063,"Glycolysis"
"43",9,"1.2.1.12","GAPDH","ENSG00000111640","2597",0.1282720208002,0.918260126933063,"Glycolysis"
"44",9,"1.2.1.12","GAPDHS","ENSG00000105679","26330",0.1282720208002,0.918260126933063,"Glycolysis"
"45",9,"1.2.1.59",NA,NA,NA,0.1282720208002,0.918260126933063,"Glycolysis"
"46",10,"1.2.1.12","GAPDH","ENSG00000111640","2597",0,1,"Glycolysis"
"47",10,"1.2.1.12","GAPDHS","ENSG00000105679","26330",0,1,"Glycolysis"
"48",10,"1.2.1.59",NA,NA,NA,0,1,"Glycolysis"
"49",10,"1.2.1.12","GAPDH","ENSG00000111640","2597",0,1,"Glycolysis"
"50",10,"1.2.1.12","GAPDHS","ENSG00000105679","26330",0,1,"Glycolysis"
"51",10,"1.2.1.59",NA,NA,NA,0,1,"Glycolysis"
"52",11,"2.7.1.11","PFKL","ENSG00000141959","5211",3.00464496854789,0.0422856411395466,"Glycolysis"
"53",11,"2.7.1.11","PFKM","ENSG00000152556","5213",3.00464496854789,0.0422856411395466,"Glycolysis"
"54",11,"2.7.1.11","PFKP","ENSG00000067057","5214",3.00464496854789,0.0422856411395466,"Glycolysis"
"55",12,"5.3.1.9","GPI","ENSG00000105220","2821",-0.485090984802817,0.306819628294274,"Glycolysis"
"56",12,"5.3.1.9","GPI","ENSG00000282019","2821",-0.485090984802817,0.306819628294274,"Glycolysis"
"57",12,"5.3.1.9","GPI","ENSG00000105220","2821",-0.485090984802817,0.306819628294274,"Glycolysis"
"58",12,"5.3.1.9","GPI","ENSG00000282019","2821",-0.485090984802817,0.306819628294274,"Glycolysis"
"59",13,"5.3.1.9","GPI","ENSG00000105220","2821",1.69013023558,0.0422856411395466,"Glycolysis"
"60",13,"5.3.1.9","GPI","ENSG00000282019","2821",1.69013023558,0.0422856411395466,"Glycolysis"
"61",13,"5.3.1.9","GPI","ENSG00000105220","2821",1.69013023558,0.0422856411395466,"Glycolysis"
"62",13,"5.3.1.9","GPI","ENSG00000282019","2821",1.69013023558,0.0422856411395466,"Glycolysis"
"63",14,"3.6.1.7","ACYP1","ENSG00000119640","97",-4.44089209850063e-16,1,"Glycolysis"
"64",14,"3.6.1.7","ACYP2","ENSG00000170634","98",-4.44089209850063e-16,1,"Glycolysis"
"65",15,"2.7.2.3","PGK1","ENSG00000102144","5230",0.66491785035587,0.639612610791184,"Glycolysis"
"66",15,"2.7.2.3","PGK2","ENSG00000170950","5232",0.66491785035587,0.639612610791184,"Glycolysis"
"67",15,"2.7.2.3","PGK1","ENSG00000102144","5230",0.66491785035587,0.639612610791184,"Glycolysis"
"68",15,"2.7.2.3","PGK2","ENSG00000170950","5232",0.66491785035587,0.639612610791184,"Glycolysis"
"69",16,"2.7.2.3","PGK1","ENSG00000102144","5230",0.558903821610595,0.0422856411395466,"Glycolysis"
"70",16,"2.7.2.3","PGK2","ENSG00000170950","5232",0.558903821610595,0.0422856411395466,"Glycolysis"
"71",16,"2.7.2.3","PGK1","ENSG00000102144","5230",0.558903821610595,0.0422856411395466,"Glycolysis"
"72",16,"2.7.2.3","PGK2","ENSG00000170950","5232",0.558903821610595,0.0422856411395466,"Glycolysis"
"73",17,"5.4.2.11",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"74",17,"5.4.2.11",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"75",17,"5.4.2.11",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"76",17,"5.4.2.12",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"77",17,"5.4.2.11",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"78",17,"5.4.2.12",NA,NA,NA,0.0794061970531192,1,"Glycolysis"
"79",18,"5.4.2.11",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"80",18,"5.4.2.11",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"81",18,"5.4.2.11",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"82",18,"5.4.2.12",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"83",18,"5.4.2.11",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"84",18,"5.4.2.12",NA,NA,NA,-0.649596882612024,0.65503876469712,"Glycolysis"
"85",19,"5.4.2.2","PGM1","ENSG00000079739","5236",-0.17612674901585,1,"Glycolysis"
"86",19,"5.4.2.2","PGM2","ENSG00000169299","55276",-0.17612674901585,1,"Glycolysis"
"87",19,"5.4.2.5",NA,NA,NA,-0.17612674901585,1,"Glycolysis"
"88",19,"5.4.2.2","PGM1","ENSG00000079739","5236",-0.17612674901585,1,"Glycolysis"
"89",19,"5.4.2.2","PGM2","ENSG00000169299","55276",-0.17612674901585,1,"Glycolysis"
"90",19,"5.4.2.5",NA,NA,NA,-0.17612674901585,1,"Glycolysis"
"91",19,"5.4.2.2","PGM1","ENSG00000079739","5236",-0.17612674901585,1,"Glycolysis"
"92",19,"5.4.2.2","PGM2","ENSG00000169299","55276",-0.17612674901585,1,"Glycolysis"
"93",19,"5.4.2.2","PGM1","ENSG00000079739","5236",-0.17612674901585,1,"Glycolysis"
"94",19,"5.4.2.2","PGM2","ENSG00000169299","55276",-0.17612674901585,1,"Glycolysis"
"95",20,"5.4.2.2","PGM1","ENSG00000079739","5236",-0.485090984802817,0.306819628294274,"Glycolysis"
