geoID,cell_line
GSM1017466,HaCaT
GSM1017467,HaCaT
GSM1017468,HaCaT
GSM508815,HaCaT
GSM508816,HaCaT
GSM508817,HaCaT
GSM960278,HaCaT
GSM960286,HaCaT
GSM960294,HaCaT
GSM1017472,HeLa
GSM1017473,HeLa
GSM1017474,HeLa
GSM1025049,HeLa
GSM1025050,HeLa
GSM1025051,HeLa
GSM1068623,HeLa
GSM1122645,HeLa
GSM1122648,HeLa
GSM1154785,HeLa
GSM1154786,HeLa
GSM1282397,HeLa
GSM1282398,HeLa
GSM1282399,HeLa
GSM157868,HeLa
GSM162953,HeLa
GSM162955,HeLa
GSM162964,HeLa
GSM341386,HeLa
GSM341387,HeLa
GSM341388,HeLa
GSM352683,HeLa
GSM463942,HeLa
GSM494403,HeLa
GSM542389,HeLa
GSM554070,HeLa
GSM554072,HeLa
GSM554074,HeLa
GSM650992,HeLa
GSM818832,HeLa
GSM818833,HeLa
GSM818834,HeLa
GSM930228,HeLa
GSM930229,HeLa
GSM930230,HeLa
GSM960275,HeLa
GSM960283,HeLa
GSM960291,HeLa
GSM173532,keratinocyte
GSM173533,keratinocyte
GSM173534,keratinocyte
GSM886422,keratinocyte
GSM886423,keratinocyte
GSM886433,keratinocyte
GSM886434,keratinocyte
GSM886435,keratinocyte
GSM960281,keratinocyte
GSM960289,keratinocyte
GSM960297,keratinocyte
