name,kegg,hmdb
13dpg,C00236,HMDB01270
3pg,"C00197, C00597 ","HMDB60180, HMDB00807"
pi,C00009,"HMDB01429, HMDB02142"
23dpg,C01159,HMDB01294
2pg,C00631,HMDB03391
pep,C00074,HMDB00263
fdp,C00354,HMDB01058
dhap,C00111,HMDB01473
g3p,C00118,HMDB01112
f6p,C00085,HMDB00124
nad,C00003,HMDB00902
nadh,C00004,HMDB01487
atp,C00002,HMDB00538
adp,C00008,HMDB01341
g6p,C00092,HMDB01401
g1p,C00103,HMDB01586
pyr,C00022,HMDB00243
lac-L,C00186,HMDB00190
nadp,C00006,HMDB00217
6pgl,C01236,HMDB01127
nadph,C00005,HMDB00221
6pgc,C00345,HMDB01316
ru5p-D,C00199,HMDB00618
r1p,C00620,HMDB01489
r5p,C00117,HMDB01548
amp,C00020,HMDB00045
prpp,C00119,HMDB00280
xu5p-D,C00231,HMDB00868
e4p,C00279,HMDB01321
s7p,C05382,HMDB01068
cit,C00158,HMDB00094
icit,C00311,HMDB00193
akg,C00026,HMDB00208
oaa,C00036,HMDB00223
fum,C00122,HMDB00134
mal-L,C00149,HMDB00156
succ,C00042,HMDB00254
gtp,C00044,HMDB01273
gdp,C00035,HMDB01201
gsh,C00051,HMDB00125
gssg,C00127,HMDB03337
glu,C00025,HMDB00148
gln,C00064,HMDB00641
