id,name,kegg_id,hmdb_id,R1Ha,R2Ha,R3Ha,R1He,R2He,R3He
A_0006,2-Hydroxybutyric acid,C05984,HMDB00008,NA,NA,NA,NA,14.0076,14.6152
A_0039,2-Phosphoglyceric acid,C00631,HMDB03391,NA,NA,NA,61.8272,27.1239,NA
A_0061,6-Phosphogluconic acid,C00345,HMDB01316,NA,NA,NA,126.9651,95.5059,246.1647
C_0077,Citrulline,C00327,HMDB00904,154.0229,115.3981,127.3069,139.606,839.4304,923.9084
C_0029,Betaine,C00719,HMDB00043,39.7862,37.4658,40.5864,89.0259,138.9778,121.2596
A_0042,Isocitric acid,C00311,HMDB00193,79.7943,78.4426,73.7573,150.3144,148.5367,200.1036
A_0033,cis-Aconitic acid,C00417,HMDB00072,69.987,92.0982,75.8405,155.0147,170.9571,184.1213
A_0045,Gluconic acid,C00257,HMDB00625,60.1125,51.5179,41.4094,85.2984,87.2675,101.9687
A_0038,3-Phosphoglyceric acid,C00197,HMDB00807,146.2824,91.3239,83.338,344.2853,114.1283,109.3836
A_0066,CMP,C00055,HMDB00095,247.0426,364.6372,413.3179,485.2375,761.9722,552.0907
A_0051,Ribose 5-phosphate,C00117,HMDB01548,50.8476,78.9968,97.5718,128.7663,154.221,112.5168
C_0113,S-Adenosylmethionine,C00019,HMDB01185,262.1864,209.2519,239.4784,414.1685,373.3691,405.8868
A_0067,UMP,C00105,HMDB00288,523.4819,788.7695,886.7299,863.7805,1614.4824,1193.2748
A_0023,2-Oxoglutaric acid,C00026,HMDB00208,627.1085,189.3436,314.7744,652.0015,619.1371,572.1818
A_0043,Citric acid,C00158,HMDB00094,3149.5512,3083.3329,2752.3159,4177.0753,4088.6434,5947.7574
C_0104,Adenosine,C00212,HMDB00050,2.9091,2.9046,2.7186,3.655,4.0044,4.6052
C_0045,Asp,"C00049,C00402,C16433","HMDB00191,HMDB06483",25439.766,14663.3458,14323.2985,30673.4903,22931.9012,22137.1875
A_0054,Glucose 6-phosphate,"C00668,C01172,C00092",HMDB01401,171.7946,276.8426,254.951,293.1873,338.5703,334.9546
